timestamp,throughput,loss_rate,rtt
0,5.22,0.023,34.04
1,4.05,0.058,55.08
2,7.23,0.064,82.69
3,2.43,0.096,84.79
4,3.85,0.017,126.73
5,8.42,0.07,88.75
6,3.86,0.057,41.36
7,9.15,0.062,87.3
8,8.93,0.02,103.23
9,3.85,0.032,116.52
10,3.72,0.076,38.46
11,6.31,0.019,46.55
12,6.26,0.078,103.21
13,4.52,0.046,81.83
14,5.05,0.087,46.24
15,6.72,0.004,127.81
16,8.23,0.032,98.35
17,10.0,0.073,149.48
18,3.89,0.053,127.6
19,8.55,0.07,55.61
20,4.96,0.087,137.39
21,3.76,0.08,38.03
22,4.29,0.079,133.52
23,8.71,0.064,43.5
24,9.43,0.099,111.42
25,8.78,0.043,124.81
26,6.75,0.059,68.43
27,2.51,0.095,63.53
28,2.03,0.085,48.3
29,8.14,0.078,33.99
30,6.04,0.006,146.43
31,8.11,0.083,46.16
32,9.23,0.059,112.7
33,8.72,0.024,109.83
34,7.3,0.08,33.14
35,9.12,0.053,74.28
36,5.41,0.04,117.63
37,2.45,0.007,36.86
38,6.21,0.033,44.04
39,8.68,0.007,59.18
40,5.73,0.022,143.23
41,2.77,0.002,60.49
42,6.38,0.076,132.06
43,6.59,0.088,106.36
44,6.09,0.084,31.95
45,3.98,0.04,74.05
46,9.83,0.078,65.96
47,4.4,0.014,146.06
48,2.57,0.011,124.71
49,7.25,0.091,56.97
50,3.26,0.068,115.48
51,8.2,0.004,51.29
52,3.95,0.051,64.78
53,4.26,0.003,141.77
54,9.12,0.089,131.18
55,7.98,0.003,66.41
56,5.86,0.043,41.1
57,8.35,0.044,81.8
58,2.45,0.043,138.74
59,2.86,0.072,91.22
