timestamp,throughput,loss_rate,rtt
0,3.34,0.089,118.87
1,4.65,0.082,66.35
2,6.12,0.043,74.73
3,3.02,0.043,140.6
4,8.09,0.008,76.86
5,7.46,0.072,110.17
6,9.04,0.083,42.85
7,3.88,0.014,131.62
8,8.84,0.04,113.69
9,5.79,0.007,34.47
10,6.61,0.099,145.25
11,6.44,0.0,52.29
12,3.52,0.009,34.9
13,7.15,0.039,91.14
14,6.77,0.094,140.7
15,6.67,0.002,116.03
16,8.0,0.085,99.21
17,5.11,0.038,124.65
18,7.87,0.089,47.83
19,2.91,0.042,88.68
20,9.1,0.01,149.06
21,9.94,0.029,37.52
22,3.71,0.001,131.78
23,4.43,0.014,144.85
24,8.08,0.05,78.89
25,3.18,0.099,32.5
26,6.95,0.041,141.96
27,4.52,0.027,112.09
28,2.75,0.003,128.07
29,8.21,0.038,62.71
30,6.24,0.034,32.15
31,5.93,0.056,77.68
32,2.05,0.032,95.26
33,5.79,0.059,30.09
34,9.52,0.082,122.02
35,8.87,0.03,87.13
36,9.22,0.053,40.96
37,9.54,0.088,75.37
38,9.63,0.032,33.79
39,9.1,0.076,62.73
40,4.11,0.042,86.7
41,6.86,0.013,32.29
42,8.75,0.05,44.02
43,2.57,0.06,86.6
44,9.68,0.025,98.15
45,2.5,0.062,41.86
46,3.58,0.045,43.14
47,9.18,0.097,47.77
48,6.2,0.05,89.1
49,8.83,0.058,82.88
50,9.05,0.098,41.43
51,4.05,0.024,138.8
52,6.05,0.01,84.28
53,6.42,0.026,64.01
54,6.69,0.021,73.34
55,2.72,0.1,59.47
56,8.88,0.018,123.79
57,8.51,0.043,87.36
58,2.84,0.067,131.65
59,3.58,0.063,92.26
