timestamp,throughput,loss_rate,rtt
0,6.95,0.017,137.66
1,9.97,0.087,108.94
2,7.52,0.017,73.35
3,3.09,0.035,68.18
4,3.17,0.024,38.6
5,5.42,0.092,125.95
6,3.9,0.044,102.14
7,4.41,0.003,50.24
8,8.05,0.014,106.66
9,4.49,0.087,48.38
10,5.88,0.012,43.58
11,7.14,0.018,118.52
12,6.67,0.075,34.04
13,9.48,0.02,73.3
14,4.69,0.087,129.01
15,5.1,0.046,64.7
16,8.63,0.002,38.64
17,7.97,0.073,92.68
18,7.81,0.003,103.84
19,8.06,0.005,125.14
20,8.18,0.061,51.44
21,7.95,0.076,136.63
22,5.11,0.087,95.99
23,4.31,0.04,63.2
24,2.14,0.087,136.18
25,6.23,0.047,123.2
26,4.23,0.004,33.57
27,9.4,0.064,97.37
28,8.1,0.011,84.83
29,9.98,0.015,101.88
30,2.28,0.046,131.75
31,8.99,0.083,81.38
32,7.98,0.02,82.73
33,8.86,0.057,77.6
34,6.17,0.012,68.73
35,3.08,0.013,111.93
36,2.35,0.083,65.67
37,4.82,0.057,115.08
38,7.19,0.003,46.49
39,8.71,0.075,51.97
40,2.3,0.024,58.26
41,7.39,0.002,132.98
42,4.01,0.005,96.1
43,5.3,0.028,129.41
44,7.55,0.013,68.81
45,7.69,0.03,45.2
46,5.24,0.092,69.48
47,5.27,0.083,124.7
48,8.44,0.028,76.02
49,6.48,0.042,64.74
50,7.85,0.053,60.71
51,7.55,0.026,77.61
52,5.47,0.1,45.13
53,4.6,0.017,114.1
54,7.87,0.085,51.3
55,9.8,0.093,96.8
56,2.14,0.056,112.66
57,7.07,0.013,100.24
58,7.27,0.037,44.39
59,7.2,0.078,62.18
