timestamp,throughput,loss_rate,rtt
0,6.61,0.075,93.46
1,6.92,0.006,149.97
2,7.72,0.017,130.94
3,8.23,0.09,147.37
4,8.39,0.028,83.22
5,7.5,0.002,54.47
6,4.37,0.06,146.3
7,4.64,0.078,92.91
8,7.37,0.046,124.51
9,4.32,0.011,113.89
10,8.02,0.036,105.52
11,7.26,0.041,46.43
12,8.24,0.077,83.7
13,4.14,0.047,60.01
14,6.78,0.069,99.99
15,5.32,0.004,143.86
16,3.1,0.049,80.01
17,2.63,0.043,129.36
18,6.34,0.074,113.85
19,8.25,0.089,36.27
20,5.11,0.015,96.87
21,5.59,0.0,47.39
22,4.39,0.093,127.05
23,4.99,0.071,37.02
24,4.45,0.033,35.86
25,4.89,0.047,36.65
26,2.68,0.018,104.23
27,2.78,0.042,37.25
28,7.94,0.096,53.13
29,4.24,0.058,105.96
30,4.69,0.095,60.35
31,5.28,0.012,137.5
32,3.21,0.013,137.3
33,7.85,0.07,119.13
34,6.29,0.055,65.21
35,2.48,0.085,108.18
36,3.55,0.058,54.86
37,5.46,0.097,48.22
38,9.95,0.06,67.83
39,2.0,0.095,81.39
40,6.82,0.062,58.36
41,2.51,0.079,126.92
42,4.86,0.064,43.83
43,9.24,0.068,115.16
44,2.38,0.074,109.79
45,2.35,0.044,41.48
46,5.79,0.039,133.1
47,8.4,0.043,31.86
48,4.51,0.042,126.14
49,8.81,0.07,130.55
50,5.71,0.097,87.95
51,8.49,0.028,140.19
52,2.52,0.059,58.12
53,4.21,0.055,127.75
54,4.0,0.091,42.86
55,6.16,0.076,50.7
56,6.73,0.052,94.55
57,6.47,0.011,42.29
58,5.19,0.084,50.66
59,3.84,0.046,30.1
