timestamp,throughput,loss_rate,rtt
0,6.03,0.057,53.74
1,2.87,0.04,95.68
2,8.08,0.034,133.57
3,8.18,0.06,92.92
4,6.15,0.035,140.13
5,4.56,0.07,132.23
6,6.88,0.076,138.68
7,6.23,0.084,86.99
8,7.53,0.091,146.52
9,5.48,0.078,97.41
10,3.85,0.074,105.97
11,8.91,0.054,140.01
12,2.39,0.023,133.28
13,8.38,0.02,81.23
14,4.57,0.054,93.17
15,3.62,0.098,131.59
16,5.92,0.014,78.17
17,9.86,0.011,87.05
18,7.62,0.054,90.95
19,3.53,0.032,106.94
20,9.08,0.032,61.35
21,2.67,0.098,56.82
22,8.46,0.094,126.68
23,4.1,0.077,127.37
24,5.26,0.025,104.85
25,5.34,0.085,37.84
26,2.02,0.095,89.92
27,2.81,0.043,52.67
28,2.57,0.075,115.29
29,3.68,0.047,56.24
30,7.49,0.094,142.44
31,3.83,0.094,62.53
32,9.79,0.055,140.08
33,6.78,0.02,112.38
34,5.05,0.069,78.31
35,9.57,0.0,90.29
36,3.76,0.085,109.3
37,3.33,0.096,112.63
38,4.12,0.088,38.28
39,7.95,0.017,102.72
40,4.63,0.021,139.82
41,3.81,0.013,76.56
42,5.54,0.058,68.0
43,5.29,0.062,133.03
44,2.36,0.088,39.45
45,8.34,0.045,67.05
46,4.71,0.061,31.03
47,6.97,0.067,70.46
48,2.8,0.093,114.92
49,7.2,0.05,134.43
50,8.23,0.048,149.3
51,7.91,0.085,146.97
52,3.61,0.072,59.52
53,8.38,0.013,116.0
54,6.91,0.007,130.93
55,3.61,0.082,62.57
56,9.94,0.072,125.03
57,4.07,0.077,99.82
58,9.47,0.003,148.22
59,6.76,0.026,116.97
