timestamp,throughput,loss_rate,rtt
0,5.0,0.079,48.21
1,7.52,0.026,35.59
2,6.24,0.011,68.12
3,7.74,0.005,108.62
4,4.84,0.092,40.43
5,5.9,0.035,79.97
6,5.29,0.032,133.19
7,4.15,0.099,72.97
8,4.06,0.064,109.44
9,2.79,0.019,109.01
10,2.88,0.011,54.54
11,6.63,0.035,34.51
12,7.44,0.07,47.74
13,5.23,0.02,122.46
14,3.4,0.041,122.84
15,2.4,0.054,62.41
16,2.3,0.046,79.7
17,9.91,0.029,47.86
18,3.39,0.061,88.79
19,7.35,0.056,124.09
20,9.87,0.046,134.43
21,8.86,0.002,101.55
22,9.56,0.072,56.51
23,7.58,0.033,125.81
24,2.52,0.053,129.96
25,8.14,0.012,52.71
26,6.08,0.085,50.61
27,2.37,0.035,123.91
28,9.26,0.042,32.57
29,9.64,0.031,41.77
30,3.7,0.004,56.46
31,5.32,0.051,50.98
32,4.18,0.063,114.34
33,7.46,0.084,39.49
34,3.7,0.057,30.27
35,2.27,0.012,56.55
36,6.01,0.059,85.99
37,4.22,0.024,107.52
38,3.54,0.058,121.26
39,5.38,0.063,55.47
40,2.5,0.077,30.08
41,3.23,0.058,51.39
42,7.64,0.087,61.99
43,6.44,0.063,57.85
44,7.3,0.029,144.51
45,9.99,0.049,101.3
46,2.05,0.097,85.12
47,6.87,0.019,107.47
48,6.9,0.049,110.53
49,8.04,0.065,55.63
50,6.34,0.042,81.63
51,4.85,0.017,67.47
52,6.79,0.014,128.69
53,2.08,0.09,78.58
54,9.42,0.086,108.96
55,7.38,0.051,129.67
56,5.01,0.002,147.37
57,6.69,0.084,43.71
58,3.72,0.051,33.24
59,7.6,0.034,132.07
