timestamp,throughput,loss_rate,rtt
0,6.57,0.029,47.59
1,3.4,0.069,72.46
2,8.34,0.068,114.52
3,6.85,0.01,98.73
4,5.84,0.067,65.15
5,6.99,0.076,123.32
6,8.42,0.045,39.46
7,9.71,0.079,100.9
8,7.08,0.053,88.81
9,3.99,0.015,68.66
10,6.63,0.093,140.11
11,3.0,0.078,47.1
12,7.93,0.099,147.02
13,8.31,0.052,74.11
14,4.59,0.043,38.36
15,3.36,0.1,107.34
16,9.28,0.059,56.9
17,2.38,0.039,140.19
18,4.87,0.029,45.48
19,5.52,0.039,63.23
20,9.33,0.097,136.35
21,3.41,0.078,141.78
22,4.51,0.059,139.47
23,8.63,0.1,127.52
24,3.71,0.055,108.17
25,6.59,0.008,81.85
26,6.1,0.027,125.72
27,6.62,0.005,122.67
28,3.0,0.023,102.36
29,5.09,0.06,125.56
30,6.15,0.005,127.46
31,4.39,0.071,45.76
32,8.85,0.091,90.12
33,7.28,0.025,55.19
34,4.07,0.021,37.96
35,2.91,0.013,148.32
36,2.41,0.029,91.04
37,6.68,0.014,87.56
38,8.28,0.064,149.06
39,8.02,0.009,149.88
40,6.32,0.027,75.31
41,2.88,0.039,114.14
42,3.79,0.1,47.88
43,7.05,0.018,146.16
44,8.29,0.092,125.98
45,4.42,0.097,90.12
46,4.96,0.072,121.87
47,7.99,0.038,127.71
48,9.77,0.028,49.03
49,8.03,0.067,48.25
50,6.32,0.073,130.12
51,5.99,0.084,102.81
52,8.46,0.098,36.2
53,5.61,0.068,37.06
54,8.28,0.057,33.87
55,4.97,0.035,132.6
56,9.48,0.071,68.4
57,3.89,0.038,96.08
58,8.46,0.033,92.53
59,5.35,0.021,35.29
