timestamp,throughput,loss_rate,rtt
0,6.15,0.012,136.32
1,5.87,0.062,108.36
2,5.69,0.034,31.94
3,4.91,0.092,98.89
4,4.66,0.051,81.87
5,6.87,0.002,85.52
6,8.81,0.058,69.95
7,2.11,0.037,52.91
8,9.44,0.055,51.83
9,3.13,0.082,45.26
10,2.92,0.072,125.01
11,6.45,0.039,58.81
12,8.45,0.073,61.23
13,4.05,0.049,74.31
14,5.07,0.062,141.08
15,6.15,0.043,109.5
16,5.13,0.014,103.09
17,8.15,0.055,112.98
18,9.2,0.097,126.09
19,5.29,0.077,94.55
20,5.93,0.022,58.09
21,3.42,0.049,144.33
22,8.54,0.018,130.09
23,7.96,0.071,59.33
24,3.96,0.068,93.24
25,9.82,0.002,51.68
26,7.46,0.04,54.84
27,9.18,0.09,132.01
28,7.9,0.052,148.83
29,2.19,0.028,108.82
30,7.68,0.045,59.67
31,8.72,0.049,40.59
32,6.63,0.056,95.72
33,7.87,0.078,78.9
34,2.36,0.007,138.95
35,2.59,0.038,135.61
36,7.81,0.018,76.35
37,4.16,0.059,69.17
38,9.24,0.094,90.98
39,4.87,0.04,96.62
40,4.3,0.075,50.76
41,3.44,0.033,52.89
42,3.44,0.005,78.16
43,7.33,0.027,90.51
44,3.45,0.023,65.54
45,7.05,0.08,135.76
46,8.52,0.061,39.1
47,8.19,0.096,113.76
48,7.28,0.05,142.93
49,6.41,0.04,131.95
50,2.98,0.019,143.39
51,2.62,0.029,100.93
52,7.9,0.06,130.93
53,8.84,0.063,103.06
54,5.52,0.091,126.34
55,4.66,0.051,147.47
56,8.78,0.016,83.03
57,5.36,0.095,147.59
58,6.94,0.067,89.88
59,9.5,0.081,133.91
