timestamp,throughput,loss_rate,rtt
0,2.18,0.043,91.58
1,4.64,0.011,132.41
2,8.83,0.075,78.52
3,2.73,0.017,83.27
4,6.56,0.024,129.66
5,6.07,0.088,112.32
6,3.22,0.091,89.69
7,8.6,0.085,75.27
8,4.11,0.045,115.0
9,2.91,0.049,37.11
10,2.95,0.045,132.41
11,3.91,0.038,126.54
12,9.25,0.033,64.2
13,6.51,0.041,48.99
14,8.03,0.01,83.68
15,4.97,0.029,96.47
16,9.34,0.073,76.04
17,7.77,0.047,36.63
18,3.0,0.011,105.46
19,2.86,0.081,101.65
20,9.19,0.036,80.59
21,7.07,0.071,95.39
22,4.94,0.1,131.26
23,8.61,0.045,124.28
24,4.61,0.004,140.36
25,7.11,0.002,84.44
26,2.43,0.077,102.67
27,6.88,0.049,46.14
28,9.45,0.012,101.69
29,7.72,0.032,31.62
30,5.63,0.058,125.01
31,6.05,0.052,133.51
32,5.5,0.032,66.79
33,7.73,0.039,148.4
34,2.63,0.091,142.06
35,5.35,0.019,133.22
36,9.78,0.062,60.97
37,8.71,0.08,140.9
38,7.27,0.085,37.46
39,4.67,0.023,37.51
40,2.28,0.068,147.96
41,8.2,0.012,146.23
42,7.0,0.054,112.79
43,8.9,0.013,75.34
44,4.23,0.086,106.94
45,9.16,0.011,48.99
46,6.99,0.05,120.14
47,5.17,0.074,54.33
48,5.54,0.053,50.03
49,4.08,0.014,64.0
50,7.27,0.055,140.25
51,4.79,0.06,91.23
52,6.69,0.075,67.03
53,4.81,0.08,145.57
54,9.99,0.029,122.06
55,9.37,0.053,142.35
56,3.69,0.083,94.88
57,5.34,0.017,45.6
58,4.35,0.088,108.24
59,6.41,0.01,125.76
