timestamp,throughput,loss_rate,rtt
0,3.13,0.045,81.98
1,7.36,0.08,106.07
2,7.02,0.046,91.03
3,6.68,0.033,63.35
4,4.99,0.015,77.97
5,6.23,0.012,34.37
6,2.63,0.076,134.1
7,7.65,0.008,65.44
8,7.98,0.082,143.04
9,5.59,0.019,118.52
10,4.72,0.055,76.85
11,4.72,0.079,85.97
12,2.2,0.098,77.2
13,5.1,0.018,41.78
14,3.94,0.057,34.45
15,6.27,0.094,139.3
16,5.11,0.096,97.78
17,9.73,0.079,89.81
18,3.42,0.026,71.44
19,8.13,0.033,65.5
20,8.57,0.04,109.04
21,7.9,0.08,74.59
22,8.6,0.097,63.94
23,2.07,0.098,118.7
24,5.15,0.057,111.57
25,7.8,0.009,90.83
26,6.05,0.08,98.39
27,2.21,0.05,116.56
28,3.68,0.098,105.12
29,4.5,0.083,30.24
30,9.19,0.046,38.32
31,9.14,0.02,71.95
32,6.39,0.092,119.08
33,7.26,0.054,37.39
34,9.81,0.088,82.63
35,8.11,0.001,90.05
36,6.38,0.039,78.72
37,5.05,0.012,100.29
38,2.59,0.014,75.32
39,9.05,0.0,56.53
40,4.03,0.085,59.84
41,3.59,0.066,58.28
42,9.57,0.079,148.11
43,4.64,0.073,144.66
44,8.4,0.026,69.15
45,3.98,0.066,56.35
46,7.81,0.006,43.93
47,8.52,0.002,57.07
48,4.52,0.04,132.77
49,9.66,0.083,96.59
50,8.68,0.006,112.7
51,8.31,0.052,68.22
52,6.52,0.047,104.62
53,7.95,0.027,45.85
54,3.45,0.043,146.94
55,6.4,0.087,72.18
56,6.14,0.059,143.84
57,7.95,0.026,112.4
58,2.3,0.063,88.01
59,4.14,0.024,50.32
