timestamp,throughput,loss_rate,rtt
0,9.53,0.007,42.64
1,6.29,0.016,112.95
2,4.13,0.004,64.18
3,7.03,0.068,131.78
4,2.77,0.073,65.92
5,3.78,0.006,113.46
6,7.58,0.002,81.29
7,4.5,0.002,100.84
8,7.39,0.079,103.68
9,5.28,0.052,112.7
10,7.23,0.061,45.96
11,7.34,0.094,34.41
12,6.21,0.081,56.07
13,7.21,0.025,78.06
14,8.9,0.043,59.79
15,9.09,0.006,129.21
16,7.8,0.074,131.01
17,6.46,0.074,59.19
18,6.29,0.094,41.26
19,4.8,0.01,38.9
20,7.02,0.044,148.14
21,3.14,0.009,83.98
22,3.27,0.005,127.3
23,9.82,0.084,99.04
24,7.67,0.01,44.54
25,2.29,0.083,127.55
26,9.14,0.086,61.23
27,5.16,0.09,141.62
28,4.8,0.045,41.11
29,6.09,0.048,93.22
30,8.41,0.084,117.72
31,7.39,0.05,89.23
32,5.43,0.069,135.83
33,7.63,0.088,121.71
34,9.04,0.066,56.7
35,6.33,0.073,149.24
36,6.92,0.063,124.93
37,8.99,0.052,35.71
38,2.0,0.043,85.8
39,7.44,0.051,78.7
40,4.77,0.042,34.79
41,2.76,0.06,44.19
42,4.05,0.01,56.8
43,9.81,0.052,55.11
44,6.36,0.031,101.31
45,5.81,0.092,129.51
46,2.55,0.072,84.92
47,2.39,0.05,40.78
48,7.98,0.084,133.44
49,3.0,0.038,109.68
50,2.81,0.008,79.9
51,3.1,0.069,45.94
52,9.78,0.068,77.42
53,2.19,0.053,137.89
54,7.93,0.026,130.38
55,9.83,0.046,36.34
56,4.78,0.01,109.82
57,9.07,0.09,147.6
58,4.63,0.011,108.46
59,8.28,0.054,129.8
