timestamp,throughput,loss_rate,rtt
0,6.0,0.053,77.5
1,2.94,0.077,98.31
2,5.06,0.093,35.38
3,8.26,0.052,111.01
4,6.5,0.045,101.88
5,6.92,0.088,145.94
6,5.11,0.002,79.99
7,8.11,0.038,82.68
8,4.23,0.04,86.12
9,9.63,0.031,51.81
10,4.12,0.085,149.45
11,3.69,0.053,95.8
12,8.53,0.065,127.29
13,4.09,0.058,57.81
14,4.14,0.088,95.69
15,2.8,0.017,64.51
16,5.85,0.044,96.71
17,9.84,0.07,114.96
18,6.88,0.069,85.34
19,7.55,0.099,63.44
20,5.68,0.071,106.27
21,4.87,0.016,45.93
22,9.19,0.021,147.38
23,3.63,0.083,116.91
24,2.07,0.063,126.96
25,9.3,0.097,76.32
26,5.92,0.086,100.41
27,2.88,0.013,133.57
28,5.69,0.1,55.84
29,7.53,0.058,66.1
30,3.49,0.001,63.19
31,9.48,0.077,60.25
32,2.77,0.063,147.58
33,6.82,0.023,129.76
34,5.7,0.069,54.13
35,3.76,0.028,136.7
36,4.04,0.041,139.95
37,9.63,0.063,119.4
38,7.6,0.027,59.34
39,7.42,0.05,81.48
40,8.09,0.032,50.52
41,4.61,0.073,131.6
42,9.4,0.048,38.36
43,4.18,0.087,136.98
44,3.7,0.095,92.5
45,3.29,0.089,79.18
46,2.26,0.016,87.61
47,3.75,0.086,144.94
48,2.97,0.038,106.91
49,4.54,0.008,118.83
50,9.34,0.077,118.46
51,6.56,0.056,134.96
52,8.47,0.019,116.34
53,5.98,0.031,140.28
54,6.69,0.017,82.23
55,8.69,0.042,92.86
56,7.08,0.05,123.06
57,9.87,0.001,134.85
58,3.17,0.02,65.93
59,7.42,0.015,149.53
