timestamp,throughput,loss_rate,rtt
0,9.44,0.089,102.65
1,9.18,0.008,52.56
2,2.95,0.066,113.47
3,3.5,0.094,73.15
4,9.25,0.013,134.7
5,8.7,0.04,112.19
6,6.12,0.069,145.97
7,4.0,0.081,56.59
8,6.95,0.009,60.9
9,3.4,0.027,97.06
10,6.07,0.083,57.91
11,6.36,0.059,109.4
12,2.92,0.039,38.64
13,2.02,0.047,112.52
14,4.57,0.088,32.49
15,4.26,0.026,148.68
16,8.84,0.033,138.14
17,4.87,0.038,65.15
18,4.48,0.033,141.54
19,4.8,0.003,112.46
20,4.73,0.045,47.3
21,7.79,0.093,142.22
22,3.61,0.03,45.13
23,7.36,0.008,41.16
24,5.22,0.068,125.65
25,4.59,0.084,140.34
26,6.4,0.056,31.99
27,5.06,0.073,75.24
28,3.32,0.062,143.17
29,2.31,0.039,88.89
30,6.4,0.044,79.21
31,4.68,0.054,133.4
32,6.0,0.069,64.48
33,6.55,0.074,54.04
34,6.03,0.043,104.54
35,8.21,0.082,111.4
36,7.21,0.052,37.51
37,5.43,0.083,124.3
38,7.66,0.049,115.11
39,6.93,0.097,66.26
40,4.02,0.084,143.12
41,3.37,0.052,30.18
42,4.64,0.065,52.26
43,2.66,0.003,94.7
44,6.74,0.098,36.76
45,2.78,0.018,81.28
46,5.31,0.098,79.57
47,8.5,0.056,122.5
48,5.95,0.015,136.5
49,7.56,0.052,131.0
50,9.26,0.079,56.98
51,7.49,0.001,37.54
52,5.93,0.085,96.12
53,6.34,0.013,36.13
54,4.91,0.074,52.84
55,9.52,0.009,128.43
56,2.48,0.097,34.04
57,6.03,0.099,40.58
58,7.45,0.061,72.53
59,3.09,0.04,70.13
