timestamp,throughput,loss_rate,rtt
0,8.6,0.037,127.13
1,4.99,0.037,47.49
2,4.94,0.087,138.79
3,8.63,0.041,121.05
4,2.59,0.019,111.4
5,4.4,0.083,71.16
6,4.7,0.077,106.17
7,7.72,0.031,107.98
8,9.09,0.036,96.7
9,2.85,0.055,141.63
10,4.8,0.082,130.82
11,8.45,0.032,121.55
12,2.44,0.021,103.78
13,5.08,0.09,138.09
14,5.39,0.066,61.77
15,8.07,0.028,127.79
16,5.5,0.077,125.07
17,7.3,0.073,73.64
18,7.84,0.092,56.79
19,4.87,0.049,44.11
20,7.86,0.089,102.63
21,5.87,0.099,146.59
22,2.19,0.034,127.14
23,3.73,0.022,102.13
24,2.01,0.027,134.08
25,5.69,0.005,81.98
26,2.59,0.064,144.99
27,3.83,0.007,141.24
28,5.49,0.073,124.12
29,7.01,0.047,125.77
30,8.98,0.002,74.24
31,3.7,0.031,114.1
32,2.95,0.03,114.33
33,9.76,0.033,111.76
34,7.52,0.016,40.47
35,8.94,0.065,55.52
36,8.41,0.05,76.57
37,3.63,0.064,54.0
38,9.79,0.09,78.08
39,7.73,0.018,128.29
40,8.55,0.095,41.27
41,7.31,0.015,134.77
42,7.86,0.003,54.48
43,3.47,0.006,63.93
44,4.85,0.082,122.97
45,2.46,0.054,144.81
46,3.63,0.021,48.82
47,2.87,0.083,48.2
48,2.45,0.059,137.92
49,8.99,0.086,128.06
50,3.38,0.039,88.74
51,9.61,0.081,38.24
52,4.84,0.031,38.13
53,4.36,0.043,123.05
54,5.56,0.039,139.39
55,7.11,0.096,94.09
56,4.96,0.096,146.48
57,7.61,0.05,52.17
58,7.88,0.057,145.94
59,6.64,0.087,139.47
