timestamp,throughput,loss_rate,rtt
0,9.81,0.005,81.21
1,9.13,0.037,65.99
2,5.92,0.088,69.28
3,7.96,0.065,129.9
4,2.51,0.07,35.66
5,4.43,0.014,42.87
6,8.75,0.084,94.19
7,4.54,0.019,142.28
8,6.41,0.1,97.95
9,4.74,0.031,61.35
10,5.43,0.025,75.79
11,6.32,0.03,146.27
12,5.21,0.095,99.62
13,5.94,0.081,39.35
14,8.23,0.058,79.51
15,7.53,0.073,79.35
16,8.63,0.098,74.13
17,3.56,0.046,70.58
18,9.7,0.024,33.39
19,3.9,0.015,147.17
20,9.5,0.012,139.79
21,9.88,0.075,86.4
22,6.23,0.094,111.16
23,2.63,0.058,108.22
24,7.85,0.041,91.34
25,5.33,0.069,85.4
26,4.85,0.007,81.71
27,7.01,0.033,141.48
28,5.13,0.02,106.43
29,3.68,0.06,74.28
30,5.77,0.056,144.74
31,4.99,0.079,106.0
32,4.83,0.057,107.37
33,8.4,0.032,89.79
34,4.98,0.07,92.75
35,4.78,0.081,107.59
36,8.15,0.022,141.93
37,6.84,0.036,80.48
38,5.32,0.042,117.84
39,9.0,0.086,56.16
40,4.06,0.05,121.74
41,3.41,0.093,135.43
42,6.65,0.053,62.13
43,6.49,0.091,61.08
44,4.96,0.034,35.77
45,6.72,0.026,65.51
46,5.36,0.071,57.1
47,8.17,0.025,95.2
48,5.67,0.002,39.42
49,4.01,0.019,110.96
50,5.34,0.041,112.21
51,7.15,0.093,35.56
52,4.6,0.013,103.35
53,9.35,0.085,35.67
54,5.76,0.082,49.4
55,7.74,0.083,40.65
56,2.67,0.054,49.44
57,8.2,0.053,51.79
58,2.83,0.048,118.4
59,3.84,0.083,103.64
