timestamp,throughput,loss_rate,rtt
0,8.8,0.066,114.89
1,3.62,0.034,143.52
2,7.16,0.097,149.0
3,8.28,0.076,137.47
4,6.66,0.021,57.23
5,3.82,0.01,146.9
6,9.92,0.01,59.12
7,6.06,0.035,68.56
8,7.85,0.012,62.1
9,9.95,0.019,119.87
10,7.04,0.081,133.52
11,3.94,0.021,93.87
12,7.55,0.069,96.33
13,9.21,0.072,129.01
14,4.23,0.016,34.24
15,9.06,0.065,61.42
16,5.28,0.001,132.83
17,6.77,0.085,146.56
18,8.73,0.087,128.16
19,7.93,0.086,125.86
20,6.46,0.039,125.21
21,3.87,0.022,106.97
22,3.39,0.027,92.77
23,3.99,0.022,147.18
24,4.23,0.02,96.96
25,4.15,0.068,35.13
26,3.04,0.066,52.36
27,6.17,0.099,60.7
28,7.35,0.089,59.38
29,5.74,0.083,32.66
30,9.63,0.014,99.05
31,4.62,0.039,73.33
32,8.68,0.092,79.2
33,7.81,0.09,89.95
34,7.99,0.078,84.51
35,6.55,0.036,65.2
36,3.3,0.08,31.67
37,7.22,0.073,87.84
38,6.87,0.001,115.79
39,2.4,0.007,113.04
40,8.71,0.02,113.13
41,6.57,0.033,124.82
42,3.13,0.007,62.74
43,5.63,0.005,107.67
44,3.2,0.097,144.72
45,5.92,0.055,131.21
46,4.53,0.03,58.21
47,9.45,0.014,101.93
48,3.63,0.045,84.06
49,4.58,0.096,91.8
50,3.8,0.009,33.81
51,8.07,0.088,142.83
52,9.48,0.017,134.49
53,2.56,0.072,130.64
54,9.7,0.089,92.96
55,8.49,0.002,70.24
56,2.07,0.036,146.96
57,4.29,0.031,40.69
58,7.72,0.05,97.39
59,2.31,0.094,87.66
