timestamp,throughput,loss_rate,rtt
0,7.62,0.033,64.12
1,8.38,0.085,64.83
2,8.07,0.045,35.59
3,2.53,0.071,91.06
4,8.79,0.058,134.88
5,3.67,0.085,30.23
6,3.62,0.084,141.53
7,8.33,0.041,39.75
8,9.95,0.004,116.65
9,2.09,0.037,144.47
10,3.9,0.035,126.57
11,3.94,0.009,46.24
12,2.27,0.05,34.93
13,9.56,0.056,60.31
14,6.8,0.007,77.17
15,9.45,0.075,95.0
16,4.72,0.02,57.97
17,8.78,0.027,101.43
18,8.72,0.084,58.78
19,2.43,0.08,47.26
20,5.01,0.083,95.5
21,4.69,0.035,31.26
22,2.45,0.098,72.26
23,9.09,0.012,30.9
24,3.4,0.051,82.74
25,3.73,0.047,82.45
26,8.29,0.081,83.01
27,4.63,0.067,44.22
28,8.25,0.084,131.87
29,8.06,0.005,77.57
30,7.27,0.046,104.39
31,4.14,0.013,100.41
32,4.92,0.015,116.78
33,6.57,0.084,51.39
34,3.85,0.076,71.14
35,2.56,0.038,41.23
36,2.36,0.025,46.34
37,3.08,0.053,69.2
38,4.54,0.019,129.81
39,8.75,0.079,140.03
40,4.38,0.066,98.81
41,6.33,0.052,82.81
42,4.13,0.033,41.54
43,3.51,0.023,64.9
44,5.73,0.01,114.0
45,5.71,0.054,108.5
46,8.01,0.091,32.97
47,2.87,0.042,121.17
48,6.38,0.076,36.29
49,2.58,0.084,109.57
50,5.93,0.015,112.56
51,9.09,0.053,116.3
52,8.62,0.085,94.73
53,4.6,0.063,128.69
54,9.48,0.03,68.1
55,5.7,0.052,91.77
56,5.91,0.015,56.42
57,4.94,0.021,48.54
58,2.52,0.045,54.67
59,3.73,0.086,100.48
