timestamp,throughput,loss_rate,rtt
0,8.96,0.01,104.89
1,4.7,0.075,130.47
2,3.67,0.025,123.74
3,5.95,0.027,45.16
4,6.53,0.035,83.13
5,5.55,0.054,146.59
6,5.86,0.034,61.28
7,7.82,0.073,41.53
8,4.75,0.017,101.84
9,6.93,0.081,34.05
10,3.24,0.056,47.33
11,7.21,0.027,69.56
12,4.65,0.015,123.55
13,9.14,0.088,40.54
14,5.1,0.089,136.95
15,5.91,0.082,34.79
16,4.3,0.027,34.27
17,5.94,0.094,99.51
18,7.6,0.065,147.59
19,6.54,0.083,131.97
20,3.03,0.046,83.04
21,6.93,0.078,56.63
22,2.69,0.073,72.09
23,8.92,0.01,131.88
24,8.0,0.089,141.42
25,5.35,0.084,115.94
26,8.0,0.051,38.93
27,2.15,0.009,76.3
28,2.77,0.031,63.93
29,9.84,0.1,78.86
30,2.03,0.067,88.44
31,7.69,0.083,93.45
32,9.26,0.008,59.45
33,5.11,0.052,129.56
34,4.61,0.011,77.32
35,5.15,0.005,40.41
36,8.26,0.041,111.64
37,6.59,0.095,34.23
38,3.22,0.052,41.09
39,6.44,0.037,148.48
40,7.53,0.097,41.25
41,4.99,0.035,125.98
42,9.04,0.005,149.46
43,9.87,0.087,32.28
44,2.08,0.048,66.91
45,6.72,0.07,84.65
46,2.49,0.063,52.35
47,5.87,0.03,62.7
48,8.17,0.056,48.48
49,5.61,0.032,62.62
50,9.62,0.064,120.29
51,3.12,0.007,149.93
52,5.67,0.046,124.01
53,3.1,0.093,74.14
54,6.54,0.066,100.25
55,2.77,0.009,107.62
56,6.82,0.082,95.19
57,2.02,0.068,74.76
58,8.59,0.087,89.94
59,6.95,0.022,90.43
