timestamp,throughput,loss_rate,rtt
0,5.81,0.056,105.76
1,4.9,0.067,109.39
2,6.68,0.029,120.3
3,3.73,0.029,125.12
4,8.23,0.09,142.09
5,7.49,0.078,142.63
6,4.68,0.054,77.83
7,4.93,0.055,142.73
8,5.76,0.074,75.71
9,4.05,0.071,90.86
10,4.31,0.015,113.12
11,9.82,0.056,61.12
12,5.58,0.072,84.32
13,6.3,0.01,93.61
14,4.47,0.039,82.47
15,3.81,0.059,45.12
16,3.71,0.042,33.01
17,7.16,0.05,110.5
18,9.38,0.096,49.02
19,6.33,0.025,85.23
20,3.86,0.061,99.83
21,5.83,0.06,121.61
22,7.98,0.063,40.4
23,6.29,0.017,105.22
24,3.17,0.095,61.66
25,5.87,0.096,70.84
26,8.61,0.039,107.72
27,6.42,0.094,56.45
28,7.53,0.017,62.37
29,7.77,0.078,137.47
30,3.92,0.063,69.44
31,3.16,0.036,94.41
32,4.01,0.095,37.54
33,3.41,0.099,117.72
34,6.11,0.054,59.46
35,5.42,0.044,133.64
36,8.87,0.034,113.53
37,8.44,0.071,76.69
38,4.92,0.082,131.5
39,7.32,0.067,89.94
40,9.74,0.041,102.11
41,2.06,0.064,135.83
42,5.89,0.054,59.49
43,5.33,0.097,142.72
44,6.16,0.002,110.87
45,2.37,0.026,78.73
46,5.4,0.006,134.59
47,7.07,0.006,141.46
48,8.1,0.024,92.04
49,5.16,0.001,120.94
50,4.32,0.016,96.09
51,3.03,0.02,146.61
52,5.72,0.05,130.21
53,8.25,0.042,103.74
54,9.67,0.087,99.84
55,3.81,0.052,73.64
56,2.61,0.009,82.92
57,2.6,0.011,138.56
58,6.39,0.016,135.47
59,2.15,0.042,113.09
