timestamp,throughput,loss_rate,rtt
0,6.5,0.091,112.83
1,8.08,0.09,132.67
2,9.36,0.061,143.45
3,4.89,0.088,104.83
4,7.85,0.068,108.64
5,3.7,0.044,52.33
6,4.06,0.094,59.86
7,9.03,0.093,118.51
8,6.63,0.049,55.37
9,8.12,0.056,64.01
10,6.98,0.08,147.28
11,7.86,0.039,74.36
12,5.85,0.052,87.78
13,4.3,0.061,96.18
14,7.83,0.032,55.22
15,3.29,0.022,88.98
16,6.26,0.078,47.91
17,4.5,0.081,49.5
18,2.18,0.066,108.05
19,6.4,0.055,36.16
20,3.25,0.065,92.82
21,2.66,0.044,135.71
22,4.16,0.01,107.64
23,7.24,0.079,85.67
24,5.06,0.023,60.29
25,6.93,0.08,64.39
26,5.02,0.012,82.39
27,8.71,0.026,40.58
28,2.97,0.026,79.59
29,4.43,0.099,60.36
30,7.51,0.092,100.37
31,9.92,0.082,105.35
32,5.86,0.022,134.16
33,4.59,0.066,35.34
34,7.32,0.096,56.22
35,3.77,0.031,64.28
36,4.14,0.025,138.94
37,8.5,0.009,104.52
38,8.9,0.051,56.52
39,6.64,0.02,47.28
40,7.14,0.092,101.57
41,3.26,0.025,87.59
42,3.45,0.071,78.73
43,9.88,0.081,84.43
44,9.34,0.078,114.7
45,7.3,0.014,67.23
46,6.11,0.042,73.1
47,3.61,0.06,111.36
48,3.57,0.023,41.01
49,6.2,0.078,107.7
50,5.93,0.098,43.46
51,8.98,0.002,97.26
52,3.07,0.018,59.79
53,4.01,0.002,99.15
54,4.25,0.078,147.33
55,5.94,0.09,116.35
56,9.42,0.045,104.84
57,7.21,0.012,92.54
58,3.22,0.012,117.6
59,5.0,0.056,144.34
